customer_id,age,tenure_months,monthly_charges,support_calls,contract_type,usage_hours,churn
C0001,56.0,35,103.62,2,Monthly,19.6,1
C0002,69.0,51,104.89,0,Yearly,17.5,1
C0003,46.0,15,75.67,3,Monthly,119.1,1
C0004,32.0,25,30.57,1,Monthly,84.7,0
C0005,60.0,55,55.83,1,Monthly,15.4,0
C0006,25.0,37,85.52,2,Two-Year,120.8,1
C0007,38.0,28,118.31,7,Two-Year,12.1,1
C0008,56.0,10,86.86,7,Yearly,159.6,1
C0009,36.0,39,53.38,6,Yearly,68.2,1
C0010,40.0,57,87.06,5,Yearly,17.6,1
C0011,,17,78.6,8,Two-Year,121.8,0
C0012,28.0,39,100.19,3,Monthly,85.6,1
C0013,41.0,22,39.63,0,Monthly,195.0,1
C0014,53.0,26,98.49,7,Monthly,113.4,0
C0015,57.0,44,78.71,6,Yearly,62.3,1
C0016,41.0,25,116.67,6,Yearly,144.8,0
C0017,20.0,17,60.77,2,Monthly,61.6,1
C0018,39.0,13,86.94,3,Monthly,181.8,1
C0019,19.0,20,113.88,9,Yearly,81.2,1
C0020,41.0,25,39.23,8,Monthly,114.5,1
C0021,61.0,4,114.35,5,Yearly,19.6,1
C0022,47.0,10,91.91,4,Two-Year,91.0,1
C0023,55.0,3,36.11,2,Monthly,168.1,0
C0024,19.0,41,57.09,8,Monthly,163.1,0
C0025,38.0,45,93.74,4,Yearly,52.6,1
C0026,50.0,18,,4,Yearly,53.0,0
C0027,29.0,47,82.4,3,Monthly,165.3,1
C0028,39.0,36,61.13,3,Two-Year,186.8,0
C0029,61.0,47,85.88,0,Monthly,28.1,1
C0030,42.0,22,34.12,6,Monthly,95.5,0
C0031,66.0,34,108.44,8,Yearly,74.1,0
C0032,44.0,47,117.61,2,Two-Year,175.4,1
C0033,59.0,8,117.2,1,Monthly,25.9,0
C0034,45.0,40,97.47,2,Yearly,50.1,1
C0035,33.0,49,41.71,0,Yearly,153.0,0
C0036,32.0,44,98.24,5,Monthly,19.7,0
C0037,64.0,19,32.21,6,Monthly,103.6,1
C0038,68.0,42,31.99,1,Two-Year,94.0,1
C0039,61.0,41,59.12,7,Monthly,73.5,0
C0040,69.0,37,73.98,5,Monthly,85.0,1
C0041,20.0,6,99.34,3,Monthly,110.7,0
C0042,54.0,52,91.5,4,Two-Year,40.7,1
C0043,68.0,26,70.13,7,Yearly,118.7,1
C0044,24.0,34,54.63,2,Yearly,163.0,0
C0045,38.0,59,119.74,2,Monthly,154.4,1
C0046,26.0,56,68.36,3,Yearly,39.2,0
